Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Call Me By Your Name,Andre Aciman,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Mar 2018,256,ATLANTIC BOOKS,English,1786495252,1786495252,https://www.bookdepository.com/Call-Me-By-Your-Name-Andre-Aciman/9781786495259?ref=grid-view,
Me Before You,Jojo Moyes,Fiction Books:Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,02 Sep 2015,512,Penguin Books Ltd,English,0718157834,0718157834,https://www.bookdepository.com/Me-Before-You-Jojo-Moyes/9780718157838?ref=grid-view,
Fifty Shades of Grey : Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books,29 Jun 2012,528,Cornerstone,English,0099579936,0099579936,https://www.bookdepository.com/Fifty-Shades-Grey-E-L-James/9780099579939?ref=grid-view,
Gone Girl,Gillian Flynn,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books:People & Places,08 Nov 2012,480,Orion Publishing Co,English,1780221355,1780221355,https://www.bookdepository.com/Gone-Girl-Gillian-Flynn/9781780221359?ref=grid-view,
Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,07 May 2015,496,Penguin Books Ltd,English,1405916362,1405916362,https://www.bookdepository.com/Big-Little-Lies-Liane-Moriarty/9781405916363?ref=grid-view,
Fifty Shades Freed : Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Aug 2015,576,Cornerstone,English,0099579944,0099579944,https://www.bookdepository.com/Fifty-Shades-Freed-E-L-James/9780099579946?ref=grid-view,
The Dressmaker,Rosalie Ham,Contemporary Fiction:Romance:Romance Books:Historical Fiction,01 Jun 2016,320,Profile Books Ltd,English,1846689945,1846689945,https://www.bookdepository.com/Dressmaker-Rosalie-Ham/9781846689949?ref=grid-view,
Fifty Shades Darker : Book Two of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Nov 2014,576,Cornerstone,English,0099579928,0099579928,https://www.bookdepository.com/Fifty-Shades-Darker-E-L-James/9780099579922?ref=grid-view,
After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2016,448,Penguin Books Ltd,English,1405909072,1405909072,https://www.bookdepository.com/After-You-Jojo-Moyes/9781405909075?ref=grid-view,
Love & Misadventure,Lang Leav,Romance:Romance Books:Dating Relationships Living Together & Marriage,26 Sep 2013,176,Andrews McMeel Publishing,English,1449456146,1449456146,https://www.bookdepository.com/Love-Misadventure-Lang-Leav/9781449456146?ref=grid-view,
Six of Crows : Book 1,Leigh Bardugo,Thriller Books:Thrillers:Romance:Romance Books,02 Jun 2016,512,Hachette Children's Group,English,1780622287,1780622287,https://www.bookdepository.com/Six-Crows-Leigh-Bardugo/9781780622286?ref=grid-view,
Outlander Boxed Set : Outlander Dragonfly in Amber Voyager Drums of Autumn,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,03 Feb 2017,None,Dell,English,1101887486,1101887486,https://www.bookdepository.com/Outlander-Boxed-Set-Diana-Gabaldon/9781101887486?ref=grid-view,
Fifty Shades of Grey,E L James,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jun 2012,514,Vintage Books,English,0345803485,0345803485,https://www.bookdepository.com/Fifty-Shades-Grey-E-L-James/9780345803481?ref=grid-view,
Fifty Shades Trilogy : Fifty Shades of Grey Fifty Shades Darker Fifty Shades Freed 3-Volume Boxed Set Bundle,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jul 2012,1664,Vintage Books,English,034580404X,034580404X,https://www.bookdepository.com/Fifty-Shades-Trilogy-E-L-James/9780345804044?ref=grid-view,
The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe:Axinn Professor of English Jay Parini:April Bernard,Poetry & Drama:Poetry Books:Poetry By Individual Poets:Contemporary Fiction:Romance:Romance Books,26 Nov 2009,139,Penguin Putnam Inc,English,0451531051,0451531051,https://www.bookdepository.com/Complete-Poetry-Edgar-Allan-Poe-Edgar-Allan-Poe/9780451531056?ref=grid-view,
Outlander : A Novel,Diana Gabaldon,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:English Language: Reading & Writing Skills,01 Aug 1996,850,Bantam Doubleday Dell Publishing Group Inc,English,0440212561,0440212561,https://www.bookdepository.com/Outlander-Diana-Gabaldon/9780440212560?ref=grid-view,
It Ends With Us,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2016,384,Simon & Schuster Ltd,English,1471156265,1471156265,https://www.bookdepository.com/It-Ends-With-Us-Colleen-Hoover/9781471156267?ref=grid-view,
Anna Karenina,Leo Tolstoy:Aylmer Maude:Louise Maude:E. B. Greenwood:Dr. Keith Carabine,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Aug 1997,848,Wordsworth Editions Ltd,English,1853262714,1853262714,https://www.bookdepository.com/Anna-Karenina-Leo-Tolstoy/9781853262715?ref=grid-view,
What Alice Forgot : Was losing her memory the best thing that ever happened to her?,Liane Moriarty,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2014,512,Penguin Books Ltd,English,0141043768,0141043768,https://www.bookdepository.com/What-Alice-Forgot-Liane-Moriarty/9780141043760?ref=grid-view,
Two by Two : A beautiful story that will capture your heart,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2017,560,Little Brown Book Group,English,0751550043,0751550043,https://www.bookdepository.com/Two-by-Two-Nicholas-Sparks/9780751550047?ref=grid-view,
The Course of Love,Alain de Botton,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2017,240,Penguin Books Ltd,English,0241962137,0241962137,https://www.bookdepository.com/Course-Love-Alain-de-Botton/9780241962138?ref=grid-view,
Our Souls at Night,Kent Haruf,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Coping With Old Age:Family & Relationships:Intergenerational Relationships,17 Jun 2016,192,Pan MacMillan,English,144729937X,144729937X,https://www.bookdepository.com/Our-Souls-at-Night-Kent-Haruf/9781447299370?ref=grid-view,
The Time Traveler's Wife,Audrey Niffenegger,Contemporary Fiction:Romance:Romance Books,01 Mar 2010,560,Vintage Publishing,English,0099464462,0099464462,https://www.bookdepository.com/Time-Travelers-Wife-Audrey-Niffenegger/9780099464464?ref=grid-view,
Attachments,Rainbow Rowell,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Feb 2012,368,Orion Publishing Co,English,1409120538,1409120538,https://www.bookdepository.com/Attachments-Rainbow-Rowell/9781409120537?ref=grid-view,
The Fiery Cross,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,01 Sep 2005,1472,Random House USA Inc,English,0440221668,0440221668,https://www.bookdepository.com/Fiery-Cross-Diana-Gabaldon/9780440221661?ref=grid-view,
Fifty Shades Darker,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,532,Random House USA Inc,English,0345803493,0345803493,https://www.bookdepository.com/Fifty-Shades-Darker-E-L-James/9780345803498?ref=grid-view,
The Break,Marian Keyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,14 Sep 2017,576,Penguin Books Ltd,English,0718179730,0718179730,https://www.bookdepository.com/Break-Marian-Keyes/9780718179731?ref=grid-view,
A Breath of Snow and Ashes,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 May 2008,1438,Random House USA Inc,English,0440225809,0440225809,https://www.bookdepository.com/Breath-Snow-Ashes-Diana-Gabaldon/9780440225805?ref=grid-view,
Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,29 Aug 2017,480,Penguin Books Ltd,English,1405920556,1405920556,https://www.bookdepository.com/Big-Little-Lies-Liane-Moriarty/9781405920551?ref=grid-view,
The Essex Serpent : The number one bestseller and British Book Awards Book of the Year,Sarah Perry,Historical Romance:Historical Romance:Historical Fiction,01 May 2017,448,Profile Books Ltd,English,1781255458,1781255458,https://www.bookdepository.com/Essex-Serpent-Sarah-Perry/9781781255452?ref=grid-view,
An Echo in the Bone,Diana Gabaldon,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,31 May 2011,1184,Random House USA Inc,English,0440245680,0440245680,https://www.bookdepository.com/Echo-Bone-Diana-Gabaldon/9780440245681?ref=grid-view,
The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Religious & Spiritual Fiction:Local History & Genealogy,01 Apr 2010,272,FABER & FABER,English,0571258247,0571258247,https://www.bookdepository.com/Remains-Day-Kazuo-Ishiguro/9780571258246?ref=grid-view,
Bared to You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2012,368,Penguin Books Ltd,English,1405910232,1405910232,https://www.bookdepository.com/Bared-You-Sylvia-Day/9781405910231?ref=grid-view,
I'll Give You the Sun,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's General Story Books:Family,02 Apr 2015,432,Walker Books Ltd,English,1406326496,1406326496,https://www.bookdepository.com/Ill-Give-You-Sun-Jandy-Nelson/9781406326499?ref=grid-view,
Fifty Shades Freed,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,578,Random House USA Inc,English,0345803507,0345803507,https://www.bookdepository.com/Fifty-Shades-Freed-E-L-James/9780345803504?ref=grid-view,
Darker : Fifty Shades Darker as Told by Christian,E.L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Nov 2017,576,Cornerstone,English,1787460568,1787460568,https://www.bookdepository.com/Darker-E-L-James/9781787460560?ref=grid-view,
Dragon Fly In Amber : A Novel,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 1993,947,Bantam Doubleday Dell Publishing Group Inc,English,0440215625,0440215625,https://www.bookdepository.com/Dragon-Fly-Amber-Diana-Gabaldon/9780440215622?ref=grid-view,
The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Local History & Genealogy,11 Aug 2016,272,FABER & FABER,English,0571200737,0571200737,https://www.bookdepository.com/Remains-Day-Kazuo-Ishiguro/9780571200733?ref=grid-view,
Three Wishes,Liane Moriarty,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2016,384,Penguin Books Ltd,English,1405918497,1405918497,https://www.bookdepository.com/Three-Wishes-Liane-Moriarty/9781405918497?ref=grid-view,
Voyager : A Novel,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Nov 1994,1059,Bantam Doubleday Dell Publishing Group Inc,English,0440217563,0440217563,https://www.bookdepository.com/Voyager-Diana-Gabaldon/9780440217565?ref=grid-view,
Entwined With You : Crossfire Book 3,Sylvia Day,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jun 2013,368,Penguin Books Ltd (UK),English,1405910275,1405910275,https://www.bookdepository.com/Entwined-With-You-Sylvia-Day/9781405910279?ref=grid-view,
Sad Girls,Lang Leav,Contemporary Fiction:Romance:Romance Books,29 Jun 2017,368,Andrews McMeel Publishing,English,1449487769,1449487769,https://www.bookdepository.com/Sad-Girls-Lang-Leav/9781449487768?ref=grid-view,
Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,432,Simon & Schuster Ltd,English,1471115038,1471115038,https://www.bookdepository.com/Beautiful-Disaster-Jamie-Mcguire/9781471115035?ref=grid-view,
The Girl You Left Behind,Jojo Moyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Sep 2012,560,Penguin Books Ltd,English,0718157842,0718157842,https://www.bookdepository.com/Girl-You-Left-Behind-Jojo-Moyes/9780718157845?ref=grid-view,
The Bronze Horseman,Paullina Simons,Contemporary Fiction:Military Fiction:World War 2 Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Apr 2005,656,HarperCollins Publishers,English,0006513220,0006513220,https://www.bookdepository.com/Bronze-Horseman-Paullina-Simons/9780006513223?ref=grid-view,
Reflected in You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Oct 2012,400,Penguin Books Ltd,English,1405910259,1405910259,https://www.bookdepository.com/Reflected-You-Sylvia-Day/9781405910255?ref=grid-view,
Written in My Own Heart's Blood,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,31 May 2016,1131,Random House USA Inc,English,110188424X,110188424X,https://www.bookdepository.com/Written-My-Own-Hearts-Blood-Diana-Gabaldon/9781101884249?ref=grid-view,
Drums of Autumn,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 1997,1070,Bantam Doubleday Dell Publishing Group Inc,English,044022425X,044022425X,https://www.bookdepository.com/Drums-Autumn-Diana-Gabaldon/9780440224259?ref=grid-view,
Frankenstein,Mary Shelley,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Science Fiction:Science Fiction:Romance:Romance Books,22 Sep 2016,288,Penguin Books Ltd,English,0141198966,0141198966,https://www.bookdepository.com/Frankenstein-Mary-Shelley/9780141198965?ref=grid-view,
The Cosy Teashop in the Castle : The Bestselling Feel-Good ROM Com of the Year,Caroline Roberts,Romance:Romance Books,25 Feb 2016,400,HarperCollins Publishers,English,0008125414,0008125414,https://www.bookdepository.com/Cosy-Teashop-Castle-Caroline-Roberts/9780008125417?ref=grid-view,
The Thing Around Your Neck,Chimamanda Ngozi Adichie,Contemporary Fiction:Romance:Romance Books,01 Nov 2009,300,HarperCollins Publishers,English,0007306210,0007306210,https://www.bookdepository.com/Thing-Around-Your-Neck-Chimamanda-Ngozi-Adichie/9780007306213?ref=grid-view,
Dark Matter : The Most Mind-Blowing And Twisted Thriller Of The Year,Blake Crouch,Contemporary Fiction:Thriller Books:Thrillers:Science Fiction:Science Fiction:Romance:Romance Books,24 Aug 2017,416,Pan MacMillan,English,144729758X,144729758X,https://www.bookdepository.com/Dark-Matter-Blake-Crouch/9781447297581?ref=grid-view,
Pride And Prejudice And Zombies,Jane Austen:Seth Grahame-Smith,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Jun 2011,320,Quirk Books,English,1594743347,1594743347,https://www.bookdepository.com/Pride-Prejudice-Zombies-Jane-Austen/9781594743344?ref=grid-view,
Days of Blood and Starlight : The Sunday Times Bestseller. Daughter of Smoke and Bone Trilogy Book 2,Laini Taylor,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,13 Aug 2013,528,Hodder & Stoughton General Division,English,1444722700,1444722700,https://www.bookdepository.com/Days-Blood-Starlight-Laini-Taylor/9781444722703?ref=grid-view,
The Lucky One,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Mar 2012,400,Little Brown & Company,English,1455508977,1455508977,https://www.bookdepository.com/Lucky-One-Nicholas-Sparks/9781455508976?ref=grid-view,
Ugly Love,Colleen Hoover,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Aug 2014,324,SIMON & SCHUSTER,English,1476753180,1476753180,https://www.bookdepository.com/Ugly-Love-Colleen-Hoover/9781476753188?ref=grid-view,
Jeremy Poldark,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,06 Jun 2008,352,Pan MacMillan,English,0330463357,0330463357,https://www.bookdepository.com/Jeremy-Poldark-Winston-Graham/9780330463355?ref=grid-view,
The Summer Seaside Kitchen : Winner of the RNA Romantic Comedy Novel Award 2018,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Feb 2017,464,Little Brown Book Group,English,075156480X,075156480X,https://www.bookdepository.com/Summer-Seaside-Kitchen-Jenny-Colgan/9780751564808?ref=grid-view,
