Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English,1612130291,9781612130293,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,
Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,,B0052VUNHC,None,https://www.goodreads.com/book/show/11505797-beautiful-disaster,
Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English,0679783261,9780679783268,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,
Twilight,Stephenie Meyer,Young Adult;Fantasy;Paranormal;Vampires;Fiction;Fantasy;Paranormal,September 6th 2006,498,Little; Brown and Company,English,0316015849,9780316015844,https://www.goodreads.com/book/show/41865.Twilight,
Perfect Chemistry,Simone Elkeles,Romance;Young Adult;Contemporary;Realistic Fiction;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Young Adult;High School;New Adult;Fiction;Young Adult;Young Adult Romance,December 23rd 2008,368,Walker Childrens,English,0802798233,9780802798237,https://www.goodreads.com/book/show/4268157-perfect-chemistry,
The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English,0553816713,9780553816716,https://www.goodreads.com/book/show/15931.The_Notebook,
Thoughtless,S.C. Stephens,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult;Did Not Finish,June 11th 2011,530,CreateSpace,English,146109111X,9781461091110,https://www.goodreads.com/book/show/13517535-thoughtless,
Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English,0440242940,9780440242949,https://www.goodreads.com/book/show/10964.Outlander,
Bared to You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Adult;Romance;Contemporary Romance,February 4th 2014,334,Berkley,,0425276767,9780425276761,https://www.goodreads.com/book/show/20448515-bared-to-you,
Jane Eyre,Charlotte Brontë;Michael Mason;Amanda Hale;Rachel Joyce;Tom Burke,Romance;Historical;Historical Fiction;Literature;Gothic;Historical,February 4th 2003,507,Penguin,English,0142437204,9780142437209,https://www.goodreads.com/book/show/10210.Jane_Eyre,
