id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
1,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
2,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
3,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
4,Twilight,Stephenie Meyer,Young Adult;Fantasy;Paranormal;Vampires;Fiction;Fantasy;Paranormal,September 6th 2006,498,Little; Brown and Company,English
5,Perfect Chemistry,Simone Elkeles,Romance;Young Adult;Contemporary;Realistic Fiction;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Young Adult;High School;New Adult;Fiction;Young Adult;Young Adult Romance,December 23rd 2008,368,Walker Childrens,English
6,The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English
7,Thoughtless,S.C. Stephens,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult;Did Not Finish,June 11th 2011,530,CreateSpace,English
8,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
9,Bared to You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Adult;Romance;Contemporary Romance,February 4th 2014,334,Berkley,
10,Jane Eyre,Charlotte Brontë;Michael Mason;Amanda Hale;Rachel Joyce;Tom Burke,Romance;Historical;Historical Fiction;Literature;Gothic;Historical,February 4th 2003,507,Penguin,English
11,Easy,Tammara Webber,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College,November 6th 2012,336,Penguin Berkley,English
12,Gabriel's Inferno,Sylvain Reynard,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;Adult;New Adult;Did Not Finish,April 4th 2011,506,Omnific Publishing,English
