,id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
476,80236,80236,382,3511,The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,01 Feb 2015,378,HarperCollins Publishers Inc,English,The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,January 27th 2015,378,Avon,,1
162,20986,20986,2673,618,Hidden Star,Nora Roberts,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Dec 2016,320,HarperCollins Publishers,English,Hidden Riches,Nora Roberts,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Fiction;Mystery,July 6th 2004,392,Berkley,English,0
34,3770,3770,366,111,Paradise,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Oct 2006,709,Simon & Schuster Ltd,English,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English,1
44,5133,5133,2640,150,Big Sky Mountain,Linda Lael Miller,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2012,378,HarperCollins Publishers,English,Mackenzie's Mountain,Linda Howard,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Westerns;Suspense,March 1st 2000,256,Mira Books,English,0
97,12658,12658,1587,328,The Ideal Bride,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,431,HarperCollins Publishers Inc,English,Devil's Bride,Stephanie Laurens,Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 1st 1998,388,Avon,English,0
85,10876,10876,179,296,The Darkest Surrender,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Sep 2011,432,HarperCollins Publishers,English,The Darkest Surrender,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 27th 2011,426,HQN Books,English,1
61,7347,7347,3069,210,Hearts in Darkness,Laura Kaye,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2014,103,Laura Kaye,English,Hearts in Darkness,Laura Kaye;Güneş Demirel,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;Novella,April 21st 2011,112,The Wild Rose Press,,1
199,26212,26212,871,817,Sweet Surrender,Maya Banks,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Feb 2013,314,Penguin Putnam Inc,English,Sweet Surrender,Maya Banks,Adult Fiction;Erotica;Romance;Erotica;Bdsm;Romance;Erotic Romance;Romance;Contemporary Romance,March 4th 2008,344,Berkley Heat,English,1
268,35252,35252,1515,1161,Voyager,Diana Gabaldon,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,07 Aug 2001,912,Bantam Doubleday Dell Publishing Group Inc,English,Voyager,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance;Adult;Cultural;Scotland;Adventure,August 7th 2001,870,Delta,English,1
218,30551,30551,1119,977,Blaze of Memory : Book 7,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,12 May 2011,400,Orion Publishing Co,English,Blaze of Memory,Nalini Singh;Angela Dawe,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Shapeshifters;Fantasy;Urban Fantasy,November 3rd 2009,373,Berkley,,1
