,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
0,0,36,1,Darker : Fifty Shades Darker as Told by Christian,E.L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Nov 2017,576,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
5,5,43,2,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,432,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
6,6,172,2,A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,208,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
7,7,220,2,Walking Disaster,Jamie Mcguire,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Apr 2013,433,SIMON & SCHUSTER,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
8,8,241,2,Beautiful Redemption,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,256,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
9,9,549,2,Beautiful Sacrifice,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2015,260,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
10,10,645,2,Beautiful Burn,Jamie Mcguire,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2016,294,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
11,11,1298,2,Something Beautiful : A Novella,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,16 Aug 2015,104,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
12,12,2628,2,Beautiful Oblivion,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jul 2014,320,SIMON & SCHUSTER,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
13,13,2858,2,Beautiful Disaster Special Signed Edition,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Nov 2012,432,POCKET BOOKS,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
14,14,3005,2,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,418,SIMON & SCHUSTER,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
15,15,3010,2,A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,146,SIMON & SCHUSTER,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
76,76,65,3,Pride and Prejudice,Jane Austen:Vivien Jones:Tony Tanner,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:People & Places,30 Jan 2003,448,Penguin Books Ltd,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
97,97,2009,3,Pride and Prejudice,Jane Austen:Patricia Meyer Spacks,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,02 May 2011,424,HARVARD UNIVERSITY PRESS,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
106,106,59,3,Pride and Prejudice (Vintage Classics Austen Series),Jane Austen:Alexander McCall Smith,Classic Books & Novels:Romance:Romance Books,01 Oct 2014,464,Vintage Publishing,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
142,142,276,3,Pride and Prejudice,Jane Austen,Classic Books & Novels:Historical Romance:Historical Romance,04 Dec 1995,272,Dover Publications Inc.,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
145,145,396,3,Pride & Prejudice : Drop Caps,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,20 Dec 2012,416,Penguin Putnam Inc,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
149,149,1586,3,Pride and Prejudice: Pride and Prejudice Penguin Classics Deluxe Edition,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,25 Aug 2009,352,Penguin Books Ltd,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
155,155,3617,3,Pride and Prejudice: The Wild and Wanton Edition : The Wild and Wanton Edition,Michelle M. Pillow:Jane Austen,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Jan 2011,480,Adams Media Corporation,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
158,158,53,3,Pride And Prejudice And Zombies,Jane Austen:Seth Grahame-Smith,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Jun 2011,320,Quirk Books,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
161,161,416,3,Pride and Prejudice - Classics Reimagined,Jane Austen:Alice Pattullo,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Oct 2015,376,Quarry Books,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
163,163,1824,3,Pride And Prejudice And Zombies Deluxe,Jane Austen:Seth Grahame-Smith,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Dec 2009,328,Quirk Books,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
205,205,79,6,The Notebook,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Dec 2014,240,Little Brown Book Group,English,The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English
214,214,312,6,The Notebook,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jul 2014,259,Little Brown & Company,English,The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English
220,220,2261,6,The Notebook,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,13 Nov 2007,5,Little Brown & Company,English,The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English
232,232,2593,7,Thoughtless,S. C. Stephens,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jan 2013,530,SIMON & SCHUSTER,English,Thoughtless,S.C. Stephens,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult;Did Not Finish,June 11th 2011,530,CreateSpace,English
317,317,12,8,Outlander Boxed Set : Outlander Dragonfly in Amber Voyager Drums of Autumn,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,03 Feb 2017,None,Dell,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
318,318,16,8,Outlander : A Novel,Diana Gabaldon,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:English Language: Reading & Writing Skills,01 Aug 1996,850,Bantam Doubleday Dell Publishing Group Inc,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
326,326,103,8,Virgins : An Outlander Short Story,Diana Gabaldon,Historical Adventure:Historical Romance:Historical Romance:Historical Fiction,18 Nov 2016,256,Cornerstone,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
327,327,192,8,Outlander,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,20 Aug 2014,850,Dell Publishing Company,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
329,329,271,8,Outlander : (Outlander 1),Diana Gabaldon,Contemporary Fiction:Historical Adventure:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,02 Mar 2016,864,Cornerstone,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
