id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
44,44,172,2,A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,208,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,,0
56,56,59,3,Pride and Prejudice (Vintage Classics Austen Series),Jane Austen:Alexander McCall Smith,Classic Books & Novels:Romance:Romance Books,01 Oct 2014,464,Vintage Publishing,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English,0
163,163,2009,3,Pride and Prejudice,Jane Austen:Patricia Meyer Spacks,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,02 May 2011,424,HARVARD UNIVERSITY PRESS,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English,0
225,225,3617,3,Pride and Prejudice: The Wild and Wanton Edition : The Wild and Wanton Edition,Michelle M. Pillow:Jane Austen,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Jan 2011,480,Adams Media Corporation,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English,0
368,368,16,8,Outlander : A Novel,Diana Gabaldon,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:English Language: Reading & Writing Skills,01 Aug 1996,850,Bantam Doubleday Dell Publishing Group Inc,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English,1
378,378,192,8,Outlander,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,20 Aug 2014,850,Dell Publishing Company,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English,1
405,405,1020,8,Outlander,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,05 Jul 2011,662,Random House USA Inc,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English,0
431,431,3055,9,Sylvia Day Crossfire Series 4-Volume Boxed Set : Bared to You/Reflected in You/Entwined with You/Captivated by You,Sylvia Day,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,None,Berkley Books,English,Bared to You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Adult;Romance;Contemporary Romance,February 4th 2014,334,Berkley,,0
559,559,646,12,Gabriel's Inferno,Sylvain Reynard,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Nov 2012,560,Penguin Books Ltd,English,Gabriel's Inferno,Sylvain Reynard,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;Adult;New Adult;Did Not Finish,April 4th 2011,506,Omnific Publishing,English,1
586,586,1170,13,Gone with the Wind,Margaret Mitchell,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Sep 1936,1037,SIMON & SCHUSTER,English,Gone with the Wind,Margaret Mitchell,Classics;Historical;Historical Fiction;Fiction;Romance;Historical;Literature;War;Military History;Civil War;Romance;Historical Romance;Novels,April 1st 1999,1037,Grand Central Publishing,English,1
713,713,3145,16,The First Kiss,Stephanie Ash,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Apr 2014,304,Little Brown Book Group,English,Anna and the French Kiss,Stephanie Perkins,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,December 2nd 2010,372,Dutton Juvenile,English,0
820,820,108,21,Wuthering Heights,Emily Bronte,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,384,Penguin Books Ltd,English,Wuthering Heights,Emily Brontë;Richard J. Dunn,Classics;Fiction;Romance;Literature;Gothic;Historical;Historical Fiction;Literature;19th Century;Classics;Classic Literature;Novels;Historical,,464,Norton,English,1
900,900,2682,25,Love Unscripted : The Love Series Book 1,Tina Reber,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Mar 2013,592,Atria Books,English,Love Unscripted,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Did Not Finish;Adult,March 6th 2010,668,CreateSpace Independent Publishing Platform,English,1
1340,1340,2428,41,Kiss an Angel,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,373,HarperCollins Publishers Inc,English,Kiss an Angel,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Humor;Funny;Adult,February 1st 1996,384,Avon,English,1
1563,1563,2197,47,Emma,Jane Austen,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance,31 Oct 2013,344,Advantage Publishers Group,English,Emma,Jane Austen;Fiona Stafford,Fiction;Classics;Historical;Historical Fiction;Literature;Historical,May 6th 2003,474,Penguin Books,English,1
1663,1663,2926,52,The Thing About Love,Julie James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Apr 2017,368,Penguin Putnam Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English,0
1921,1921,432,60,The Bride,Julie Garwood,Historical Romance:Historical Romance,04 Aug 1993,358,SIMON & SCHUSTER,English,The Bride,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval,May 21st 2002,352,Atria Books,English,1
2060,2060,217,66,Rapture in Death,J. D. Robb,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,310,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
2071,2071,1037,66,Celebrity in Death,J D Robb,Crime:Crime Fiction:Romance:Romance Books,07 Aug 2012,372,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
2077,2077,1065,66,Divided In Death,J. D. Robb,Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,25 Jul 2011,371,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
2080,2080,1139,66,Born in Death,J D Robb,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,354,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
2082,2082,1149,66,Fantasy in Death,J D Robb,Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books,25 Jul 2011,355,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
2104,2104,1514,67,The Secret Dreamworld Of A Shopaholic : (Shopaholic Book 1),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2006,320,Transworld Publishers Ltd,English,Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English,0
2381,2381,1278,75,Rush Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 May 2014,256,Simon & Schuster Ltd,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,,0
2548,2548,1373,79,Practice Makes Perfect,Julie James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,291,Penguin Putnam Inc,English,Practice Makes Perfect,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,March 3rd 2009,291,Berkley Sensation,English,1
2841,2841,3869,88,Amante Liberada #9 / Lover Unleashed #9,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,27 Dec 2016,606,DEBOLSILLO,Spanish,Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English,0
2902,2902,2653,90,Bridget Jones: The Edge of Reason Film Tie-In,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2004,432,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,0
2909,2909,3051,90,Bridget Jones's Baby : The Diaries,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,01 Jun 2017,240,Vintage Publishing,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,0
2910,2910,1234,90,Bridget Jones's Diary (Film Tie-in),Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sci Fi Books for Kids,23 Mar 2001,320,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,1
2914,2914,164,91,The Darkest Seduction,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books,21 Feb 2012,384,Harlequin (UK),English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English,0
2915,2915,179,91,The Darkest Surrender,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Sep 2011,432,HarperCollins Publishers,English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English,0
2954,2954,2480,92,Natural Born Charmer,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2009,394,HarperCollins Publishers Inc,English,Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English,1
3113,3113,2242,97,The Stolen Mackenzie Bride,Jennifer Ashley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Dec 2015,323,Penguin Putnam Inc,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English,0
3173,3173,1689,97,The Wicked Deeds of Daniel MacKenzie,Jennifer Ashley,Historical Romance:Historical Romance,01 Oct 2013,371,Berkley Books,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English,0
3770,3770,366,111,Paradise,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Oct 2006,709,Simon & Schuster Ltd,English,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English,1
3943,3943,3628,116,Threesomes : When One Lover is Not Enough,Miranda Forbes:Sommer Marsden:Thomas S. Roche:Lana Fox:Malin James:Josephine Myles:Emma Richardson:Darla White:Elizabeth Coldwell:Kay Jaybee,Erotic Fiction,06 Jun 2011,208,Accent Press Ltd,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,,0
3944,3944,1679,116,The Hamilton Affair : The Epic Love Story of Alexander Hamilton and Eliza Schuyler,Elizabeth Cobbs,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Oct 2017,416,Hodder & Stoughton General Division,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,,0
