,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
10,10,645,2,Beautiful Burn,Jamie Mcguire,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2016,294,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
106,106,59,3,Pride and Prejudice (Vintage Classics Austen Series),Jane Austen:Alexander McCall Smith,Classic Books & Novels:Romance:Romance Books,01 Oct 2014,464,Vintage Publishing,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
142,142,276,3,Pride and Prejudice,Jane Austen,Classic Books & Novels:Historical Romance:Historical Romance,04 Dec 1995,272,Dover Publications Inc.,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English
220,220,2261,6,The Notebook,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,13 Nov 2007,5,Little Brown & Company,English,The Notebook,Nicholas Sparks,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,July 5th 2004,214,Bantam,English
329,329,271,8,Outlander : (Outlander 1),Diana Gabaldon,Contemporary Fiction:Historical Adventure:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,02 Mar 2016,864,Cornerstone,English,Outlander,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance,July 26th 2005,850,Dell Publishing Company,English
403,403,1522,10,Jane Eyre : Drop Caps,Charlotte Bronte,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance,03 Jan 2013,528,Penguin Putnam Inc,English,Jane Eyre,Charlotte Brontë;Michael Mason;Amanda Hale;Rachel Joyce;Tom Burke,Romance;Historical;Historical Fiction;Literature;Gothic;Historical,February 4th 2003,507,Penguin,English
499,499,776,12,Gabriel's Redemption,Sylvain Reynard,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Dec 2013,496,Penguin Books Ltd,English,Gabriel's Inferno,Sylvain Reynard,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;Adult;New Adult;Did Not Finish,April 4th 2011,506,Omnific Publishing,English
501,501,799,12,Gabriel's Redemption,Sylvain Reynard,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Dec 2013,484,Berkley Publishing Group,English,Gabriel's Inferno,Sylvain Reynard,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;Adult;New Adult;Did Not Finish,April 4th 2011,506,Omnific Publishing,English
506,506,3490,12,El éxtasis de Gabriel,Sylvain Reynard:Lara Agnelli,Erotic Fiction:Romance:Romance Books,16 Sep 2014,480,Booket,Spanish,Gabriel's Inferno,Sylvain Reynard,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;Adult;New Adult;Did Not Finish,April 4th 2011,506,Omnific Publishing,English
513,513,356,13,Gone with the Wind,Margaret Mitchell,Classic Books & Novels:Historical Romance:Historical Romance:Sagas:Historical Fiction,07 Sep 2017,1024,Pan MacMillan,English,Gone with the Wind,Margaret Mitchell,Classics;Historical;Historical Fiction;Fiction;Romance;Historical;Literature;War;Military History;Civil War;Romance;Historical Romance;Novels,April 1st 1999,1037,Grand Central Publishing,English
