id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language,,,,,,,,,,
1,Call Me By Your Name,Andre Aciman,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Mar 2018,256,ATLANTIC BOOKS,English,,,,,,,,,,
2,Me Before You,Jojo Moyes,Fiction Books:Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,02 Sep 2015,512,Penguin Books Ltd,English,,,,,,,,,,
3,Fifty Shades of Grey : Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books,29 Jun 2012,528,Cornerstone,English,,,,,,,,,,
4,Gone Girl,Gillian Flynn,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books:People & Places,08 Nov 2012,480,Orion Publishing Co,English,,,,,,,,,,
5,Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,07 May 2015,496,Penguin Books Ltd,English,,,,,,,,,,
6,Fifty Shades Freed : Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Aug 2015,576,Cornerstone,English,,,,,,,,,,
7,The Dressmaker,Rosalie Ham,Contemporary Fiction:Romance:Romance Books:Historical Fiction,01 Jun 2016,320,Profile Books Ltd,English,,,,,,,,,,
8,Fifty Shades Darker : Book Two of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Nov 2014,576,Cornerstone,English,,,,,,,,,,
9,After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2016,448,Penguin Books Ltd,English,,,,,,,,,,
10,Love & Misadventure,Lang Leav,Romance:Romance Books:Dating Relationships Living Together & Marriage,26 Sep 2013,176,Andrews McMeel Publishing,English,,,,,,,,,,
11,Six of Crows : Book 1,Leigh Bardugo,Thriller Books:Thrillers:Romance:Romance Books,02 Jun 2016,512,Hachette Children's Group,English,,,,,,,,,,
12,Outlander Boxed Set : Outlander Dragonfly in Amber Voyager Drums of Autumn,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,03 Feb 2017,None,Dell,English,,,,,,,,,,
13,Fifty Shades of Grey,E L James,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jun 2012,514,Vintage Books,English,,,,,,,,,,
14,Fifty Shades Trilogy : Fifty Shades of Grey Fifty Shades Darker Fifty Shades Freed 3-Volume Boxed Set Bundle,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jul 2012,1664,Vintage Books,English,,,,,,,,,,
15,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe:Axinn Professor of English Jay Parini:April Bernard,Poetry & Drama:Poetry Books:Poetry By Individual Poets:Contemporary Fiction:Romance:Romance Books,26 Nov 2009,139,Penguin Putnam Inc,English,,,,,,,,,,
16,Outlander : A Novel,Diana Gabaldon,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:English Language: Reading & Writing Skills,01 Aug 1996,850,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
17,It Ends With Us,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2016,384,Simon & Schuster Ltd,English,,,,,,,,,,
18,Anna Karenina,Leo Tolstoy:Aylmer Maude:Louise Maude:E. B. Greenwood:Dr. Keith Carabine,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Aug 1997,848,Wordsworth Editions Ltd,English,,,,,,,,,,
19,What Alice Forgot : Was losing her memory the best thing that ever happened to her?,Liane Moriarty,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2014,512,Penguin Books Ltd,English,,,,,,,,,,
20,Two by Two : A beautiful story that will capture your heart,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2017,560,Little Brown Book Group,English,,,,,,,,,,
21,The Course of Love,Alain de Botton,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2017,240,Penguin Books Ltd,English,,,,,,,,,,
22,Our Souls at Night,Kent Haruf,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Coping With Old Age:Family & Relationships:Intergenerational Relationships,17 Jun 2016,192,Pan MacMillan,English,,,,,,,,,,
23,The Time Traveler's Wife,Audrey Niffenegger,Contemporary Fiction:Romance:Romance Books,01 Mar 2010,560,Vintage Publishing,English,,,,,,,,,,
24,Attachments,Rainbow Rowell,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Feb 2012,368,Orion Publishing Co,English,,,,,,,,,,
25,The Fiery Cross,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,01 Sep 2005,1472,Random House USA Inc,English,,,,,,,,,,
26,Fifty Shades Darker,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,532,Random House USA Inc,English,,,,,,,,,,
27,The Break,Marian Keyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,14 Sep 2017,576,Penguin Books Ltd,English,,,,,,,,,,
28,A Breath of Snow and Ashes,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 May 2008,1438,Random House USA Inc,English,,,,,,,,,,
29,Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,29 Aug 2017,480,Penguin Books Ltd,English,,,,,,,,,,
30,The Essex Serpent : The number one bestseller and British Book Awards Book of the Year,Sarah Perry,Historical Romance:Historical Romance:Historical Fiction,01 May 2017,448,Profile Books Ltd,English,,,,,,,,,,
31,An Echo in the Bone,Diana Gabaldon,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,31 May 2011,1184,Random House USA Inc,English,,,,,,,,,,
32,The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Religious & Spiritual Fiction:Local History & Genealogy,01 Apr 2010,272,FABER & FABER,English,,,,,,,,,,
33,Bared to You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2012,368,Penguin Books Ltd,English,,,,,,,,,,
34,I'll Give You the Sun,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's General Story Books:Family,02 Apr 2015,432,Walker Books Ltd,English,,,,,,,,,,
35,Fifty Shades Freed,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,578,Random House USA Inc,English,,,,,,,,,,
36,Darker : Fifty Shades Darker as Told by Christian,E.L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Nov 2017,576,Cornerstone,English,,,,,,,,,,
37,Dragon Fly In Amber : A Novel,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 1993,947,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
38,The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Local History & Genealogy,11 Aug 2016,272,FABER & FABER,English,,,,,,,,,,
39,Three Wishes,Liane Moriarty,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2016,384,Penguin Books Ltd,English,,,,,,,,,,
40,Voyager : A Novel,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Nov 1994,1059,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
41,Entwined With You : Crossfire Book 3,Sylvia Day,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jun 2013,368,Penguin Books Ltd (UK),English,,,,,,,,,,
42,Sad Girls,Lang Leav,Contemporary Fiction:Romance:Romance Books,29 Jun 2017,368,Andrews McMeel Publishing,English,,,,,,,,,,
43,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,432,Simon & Schuster Ltd,English,,,,,,,,,,
44,The Girl You Left Behind,Jojo Moyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Sep 2012,560,Penguin Books Ltd,English,,,,,,,,,,
45,The Bronze Horseman,Paullina Simons,Contemporary Fiction:Military Fiction:World War 2 Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Apr 2005,656,HarperCollins Publishers,English,,,,,,,,,,
46,Reflected in You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Oct 2012,400,Penguin Books Ltd,English,,,,,,,,,,
47,Written in My Own Heart's Blood,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,31 May 2016,1131,Random House USA Inc,English,,,,,,,,,,
48,Drums of Autumn,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 1997,1070,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
49,Frankenstein,Mary Shelley,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Science Fiction:Science Fiction:Romance:Romance Books,22 Sep 2016,288,Penguin Books Ltd,English,,,,,,,,,,
50,The Cosy Teashop in the Castle : The Bestselling Feel-Good ROM Com of the Year,Caroline Roberts,Romance:Romance Books,25 Feb 2016,400,HarperCollins Publishers,English,,,,,,,,,,
51,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Contemporary Fiction:Romance:Romance Books,01 Nov 2009,300,HarperCollins Publishers,English,,,,,,,,,,
52,Dark Matter : The Most Mind-Blowing And Twisted Thriller Of The Year,Blake Crouch,Contemporary Fiction:Thriller Books:Thrillers:Science Fiction:Science Fiction:Romance:Romance Books,24 Aug 2017,416,Pan MacMillan,English,,,,,,,,,,
53,Pride And Prejudice And Zombies,Jane Austen:Seth Grahame-Smith,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Jun 2011,320,Quirk Books,English,,,,,,,,,,
54,Days of Blood and Starlight : The Sunday Times Bestseller. Daughter of Smoke and Bone Trilogy Book 2,Laini Taylor,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,13 Aug 2013,528,Hodder & Stoughton General Division,English,,,,,,,,,,
55,The Lucky One,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Mar 2012,400,Little Brown & Company,English,,,,,,,,,,
56,Ugly Love,Colleen Hoover,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Aug 2014,324,SIMON & SCHUSTER,English,,,,,,,,,,
57,Jeremy Poldark,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,06 Jun 2008,352,Pan MacMillan,English,,,,,,,,,,
58,The Summer Seaside Kitchen : Winner of the RNA Romantic Comedy Novel Award 2018,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Feb 2017,464,Little Brown Book Group,English,,,,,,,,,,
59,Pride and Prejudice (Vintage Classics Austen Series),Jane Austen:Alexander McCall Smith,Classic Books & Novels:Romance:Romance Books,01 Oct 2014,464,Vintage Publishing,English,,,,,,,,,,
60,Gone Girl,Gillian Flynn,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books,25 Sep 2014,512,Orion Publishing Co,English,,,,,,,,,,
61,One with You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Apr 2016,480,Penguin Books Ltd,English,,,,,,,,,,
62,A Walk to Remember,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Sep 2000,240,Warner Books (NY),English,,,,,,,,,,
