,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
0,0,3,1,Fifty Shades of Grey : Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books,29 Jun 2012,528,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
1,1,6,1,Fifty Shades Freed : Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Aug 2015,576,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
2,2,8,1,Fifty Shades Darker : Book Two of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Nov 2014,576,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
3,3,13,1,Fifty Shades of Grey,E L James,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jun 2012,514,Vintage Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
4,4,14,1,Fifty Shades Trilogy : Fifty Shades of Grey Fifty Shades Darker Fifty Shades Freed 3-Volume Boxed Set Bundle,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jul 2012,1664,Vintage Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
5,5,26,1,Fifty Shades Darker,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,532,Random House USA Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
6,6,35,1,Fifty Shades Freed,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,578,Random House USA Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
7,7,36,1,Darker : Fifty Shades Darker as Told by Christian,E.L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Nov 2017,576,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
12,12,575,1,Fifty Shades of Grey : (Movie tie-in edition): Book one of the Fifty Shades Series,E. L. James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2015,560,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
13,13,605,1,Darker : Fifty Shades Darker as Told by Christian,E L James,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Nov 2017,560,VINTAGE,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
17,17,755,1,Grey : Fifty Shades of Grey as Told by Christian (US edition),E. L. James,Fiction Books:Erotic Fiction,18 Jun 2015,576,VINTAGE,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
19,19,810,1,Large Print : Fifty Shades Of Grey,E L James,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2012,736,Random House USA Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
20,20,827,1,Trilogia Cincuenta Sombras : Cincuenta Sombra de Grey; Cincuenta Sombras Mas Oscuras Cincuenta Sombras Liberadas 3- Volume Boxed Set,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Nov 2012,1792,Vintage Books,Spanish,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
34,34,2491,1,Fifty Shades Darker : Official Movie tie-in edition includes bonus material,E. L. James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Feb 2017,560,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
35,35,2616,1,Fifty Shades Freed : (Movie tie-in edition): Book three of the Fifty Shades Series,E. L. James,Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jan 2018,576,Cornerstone,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
45,45,3135,1,Fifty Shades of Grey,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Apr 2012,514,Demco Media Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
47,47,3258,1,Fifty Shades of Grey (Movie Tie-In Edition) : Book One of the Fifty Shades Trilogy,E L James,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jun 2015,528,VINTAGE,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
48,48,3280,1,Fifty Shades Darker,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2012,755,Random House USA Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
49,49,3286,1,Fifty Shades Trilogy Shrinkwrapped Set,E L James,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jan 2013,None,Doubleday Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
51,51,3457,1,Fifty Shades Freed,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:People & Places,26 Jun 2012,812,Random House USA Inc,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
55,55,3694,1,Fifty Shades Freed,E L James,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,592,Turtleback Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
58,58,3754,1,Fifty Shades Darker,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Apr 2012,532,Turtleback Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
60,60,3891,1,Fifty Shades Freed,E L James,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Jan 2013,579,Doubleday Books,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
61,61,3893,1,Fifty Shades Darker,E L James,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Jan 2017,550,VINTAGE,English,Fifty Shades of Grey,E.L. James,Romance;Fiction;Adult Fiction;Erotica;Erotica;Bdsm;Adult,May 25th 2011,356,Vintage,English
63,63,43,2,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,432,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
64,64,172,2,A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,208,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
65,65,220,2,Walking Disaster,Jamie Mcguire,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Apr 2013,433,SIMON & SCHUSTER,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
66,66,241,2,Beautiful Redemption,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,256,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
67,67,549,2,Beautiful Sacrifice,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2015,260,Createspace Independent Publishing Platform,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,
