_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Authors_Authors_jac_qgm_3_qgm_3,Authors_Authors_cos_dlm_dc0_dlm_dc0,Authors_Authors_jac_dlm_dc0_dlm_dc0,Authors_Authors_mel,Authors_Authors_lev_dist,Authors_Authors_lev_sim,Authors_Authors_nmw,Authors_Authors_sw,Publishing_Date_Publishing_Date_jac_qgm_3_qgm_3,Publishing_Date_Publishing_Date_cos_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_jac_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_mel,Publishing_Date_Publishing_Date_lev_dist,Publishing_Date_Publishing_Date_lev_sim,Publishing_Date_Publishing_Date_nmw,Publishing_Date_Publishing_Date_sw,Pages_Pages_lev_dist,Pages_Pages_lev_sim,Pages_Pages_jar,Pages_Pages_jwn,Pages_Pages_exm,Pages_Pages_jac_qgm_3_qgm_3,Publisher_Publisher_jac_qgm_3_qgm_3,Publisher_Publisher_cos_dlm_dc0_dlm_dc0,Publisher_Publisher_jac_dlm_dc0_dlm_dc0,Publisher_Publisher_mel,Publisher_Publisher_lev_dist,Publisher_Publisher_lev_sim,Publisher_Publisher_nmw,Publisher_Publisher_sw,Language_Language_jac_qgm_3_qgm_3,Language_Language_cos_dlm_dc0_dlm_dc0,Language_Language_jac_dlm_dc0_dlm_dc0,Language_Language_mel,Language_Language_lev_dist,Language_Language_lev_sim,Language_Language_nmw,Language_Language_sw,predicted,proba
0,3,1,0,0.33333333333333337,1.0,0.0,0.3333333333333333,0.6030226891555273,0.36363636363636365,0.8449438214302063,69.0,0.2247191011235955,-49.0,20.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07692307692307693,0.0,0.0,0.6134421229362488,8,0.3846153846153846,3.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.047619047619047616,0.0,0.0,0.45598846673965454,8.0,0.2727272727272727,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.6213213703937369
1,6,1,0,0.16666666666666663,1.0,0.0,0.29850746268656714,0.5773502691896258,0.3333333333333333,0.8116439580917358,69.0,0.2247191011235955,-49.0,20.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,2.0,0.33333333333333337,0.5555555820465088,0.5555555820465088,0,0.1111111111111111,0.047619047619047616,0.0,0.0,0.45598846673965454,8.0,0.2727272727272727,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.7183015150190691
2,8,1,0,0.125,1.0,0.0,0.29850746268656714,0.5773502691896258,0.3333333333333333,0.8121291995048523,68.0,0.2272727272727273,-48.0,20.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,2.0,0.33333333333333337,0.5555555820465088,0.5555555820465088,0,0.1111111111111111,0.047619047619047616,0.0,0.0,0.45598846673965454,8.0,0.2727272727272727,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.7233343945016271
3,13,1,0,0.07692307692307687,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07692307692307693,0.0,0.0,0.6134421229362488,8,0.3846153846153846,3.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.4117647058823529,0.7071067811865475,0.5,0.9076923131942749,6.0,0.5384615384615384,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9727001438792101
4,14,1,0,0.0714285714285714,1.0,0.5,0.2631578947368421,0.5773502691896258,0.3333333333333333,0.8070369958877563,88.0,0.18518518518518523,-68.0,20.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,3.0,0.25,0.5277777910232544,0.5277777910232544,0,0.0,0.4117647058823529,0.7071067811865475,0.5,0.9076923131942749,6.0,0.5384615384615384,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.5130783421396281
12,575,1,0,0.0017391304347825765,3.0,0.0,0.273972602739726,0.5773502691896258,0.3333333333333333,0.8487805128097534,62.0,0.24390243902439024,-42.0,20.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,2.0,0.33333333333333337,0.0,0.0,0,0.0,0.047619047619047616,0.0,0.0,0.45598846673965454,8.0,0.2727272727272727,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.7441953632780297
17,755,1,0,0.0013245033112583293,3.0,0.0,0.28125,0.6030226891555273,0.36363636363636365,0.6259562969207764,41.0,0.3278688524590164,-21.0,20.0,0.6666666666666666,0.40824829046386296,0.25,0.9490908980369568,1.0,0.9090909090909091,9.0,9.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,2.0,0.33333333333333337,0.5555555820465088,0.5555555820465088,0,0.1111111111111111,0.058823529411764705,0.0,0.0,0.48571428656578064,6.0,0.1428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.8059381533749943
19,810,1,0,0.0012345679012345512,2.0,0.33333333333333337,0.4146341463414634,0.5669467095138409,0.375,0.6783797740936279,15.0,0.5588235294117647,5.0,19.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07692307692307693,0.0,0.0,0.6134421229362488,8,0.3846153846153846,3.0,4.0,2.0,0.33333333333333337,0.5555555820465088,0.5555555820465088,0,0.1111111111111111,0.0,0.0,0.0,0.41507935523986816,18.0,0.09999999999999998,-11.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.852445376109137
45,3135,1,0,0.00031897926634771867,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07692307692307693,0.0,0.0,0.55788654088974,8,0.3846153846153846,3.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3063492178916931,14.0,0.06666666666666665,-7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9863389388661669
47,3258,1,0,0.00030693677102522354,4.0,0.0,0.2916666666666667,0.5773502691896258,0.3333333333333333,0.8487805128097534,62.0,0.24390243902439024,-42.0,20.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07692307692307693,0.0,0.0,0.582084596157074,8,0.3846153846153846,3.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.058823529411764705,0.0,0.0,0.48571428656578064,6.0,0.1428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.6348798236888261
