Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
Call Me By Your Name,Andre Aciman,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Mar 2018,256,ATLANTIC BOOKS,English
Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,07 May 2015,496,Penguin Books Ltd,English
The Dressmaker,Rosalie Ham,Contemporary Fiction:Romance:Romance Books:Historical Fiction,01 Jun 2016,320,Profile Books Ltd,English
After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2016,448,Penguin Books Ltd,English
Six of Crows : Book 1,Leigh Bardugo,Thriller Books:Thrillers:Romance:Romance Books,02 Jun 2016,512,Hachette Children's Group,English
Outlander Boxed Set : Outlander Dragonfly in Amber Voyager Drums of Autumn,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,03 Feb 2017,None,Dell,English
The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe:Axinn Professor of English Jay Parini:April Bernard,Poetry & Drama:Poetry Books:Poetry By Individual Poets:Contemporary Fiction:Romance:Romance Books,26 Nov 2009,139,Penguin Putnam Inc,English
Anna Karenina,Leo Tolstoy:Aylmer Maude:Louise Maude:E. B. Greenwood:Dr. Keith Carabine,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Aug 1997,848,Wordsworth Editions Ltd,English
What Alice Forgot : Was losing her memory the best thing that ever happened to her?,Liane Moriarty,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2014,512,Penguin Books Ltd,English
Two by Two : A beautiful story that will capture your heart,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2017,560,Little Brown Book Group,English
The Course of Love,Alain de Botton,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2017,240,Penguin Books Ltd,English
Our Souls at Night,Kent Haruf,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Coping With Old Age:Family & Relationships:Intergenerational Relationships,17 Jun 2016,192,Pan MacMillan,English
The Break,Marian Keyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,14 Sep 2017,576,Penguin Books Ltd,English
Big Little Lies,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,29 Aug 2017,480,Penguin Books Ltd,English
The Essex Serpent : The number one bestseller and British Book Awards Book of the Year,Sarah Perry,Historical Romance:Historical Romance:Historical Fiction,01 May 2017,448,Profile Books Ltd,English
The Remains of the Day,Kazuo Ishiguro,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Religious & Spiritual Fiction:Local History & Genealogy,01 Apr 2010,272,FABER & FABER,English
Bared to You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2012,368,Penguin Books Ltd,English
Dragon Fly In Amber : A Novel,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 1993,947,Bantam Doubleday Dell Publishing Group Inc,English
